,points,province,variety
4334,90,Andalucia,Pedro Ximénez
4354,90,Northern Spain,Red Blend
4378,91,Northern Spain,Tempranillo Blend
4406,88,Catalonia,Sparkling Blend
4415,89,Andalucia,Moscatel
4447,85,Northern Spain,Tempranillo
4459,85,Catalonia,Red Blend
4460,85,Spain Other,Cabernet Sauvignon
4474,91,Northern Spain,Tempranillo Blend
4532,82,Northern Spain,Garnacha
4552,81,Central Spain,Rosé
4555,81,Catalonia,Garnacha
4557,80,Catalonia,Sparkling Blend
4578,85,Catalonia,Sparkling Blend
4588,87,Galicia,Albariño
4604,87,Levante,Monastrell
4611,87,Northern Spain,Mencía
4612,87,Northern Spain,White Blend
4613,87,Catalonia,Red Blend
4682,91,Northern Spain,Garnacha
4698,91,Northern Spain,Tempranillo
4699,91,Northern Spain,Tempranillo
4760,90,Northern Spain,Tempranillo Blend
4774,90,Northern Spain,Tinto Fino
4869,87,Catalonia,Sparkling Blend
4885,87,Northern Spain,Tempranillo
4931,86,Northern Spain,Tinta de Toro
4954,86,Central Spain,White Blend
4955,86,Northern Spain,Garnacha
4958,90,Central Spain,Syrah-Petit Verdot
4966,90,Catalonia,Garnacha Blanca
5007,95,Northern Spain,Tinta de Toro
5075,87,Central Spain,Tempranillo
5152,87,Northern Spain,Grenache
5162,87,Catalonia,Pinot Noir
5164,87,Northern Spain,Rosé
5170,87,Northern Spain,Red Blend
5212,92,Northern Spain,Tempranillo Blend
5239,91,Andalucia,Pedro Ximénez
5250,91,Catalonia,Sparkling Blend
5311,88,Northern Spain,Rosé
5316,87,Northern Spain,Rosé
5322,87,Northern Spain,Rosé
5324,87,Northern Spain,Tempranillo Blend
5335,87,Northern Spain,Garnacha
5393,85,Catalonia,Sparkling Blend
5401,85,Andalucia,Tempranillo
5405,85,Northern Spain,Tempranillo Blend
5466,86,Northern Spain,Tempranillo
5498,93,Northern Spain,Tinto Fino
5525,83,Northern Spain,Tempranillo Blend
5529,82,Northern Spain,Tempranillo Blend
5620,90,Andalucia,Sherry
5627,90,Andalucia,Palomino
5640,90,Northern Spain,Tempranillo
5645,90,Catalonia,Sparkling Blend
5830,84,Levante,Monastrell
6065,89,Northern Spain,Tempranillo
6080,89,Northern Spain,Tempranillo
6119,92,Northern Spain,Tempranillo
6120,92,Northern Spain,Tempranillo
6343,91,Northern Spain,Tempranillo
6437,95,Northern Spain,Tinta de Toro
6464,91,Spain Other,White Blend
6496,82,Spain Other,Sparkling Blend
6505,82,Catalonia,Sparkling Blend
6511,83,Central Spain,Tempranillo
6523,83,Central Spain,Tempranillo
6528,83,Central Spain,Alicante Bouschet
6529,83,Central Spain,Tempranillo
6532,83,Catalonia,Sparkling Blend
6635,88,Catalonia,Red Blend
6698,91,Levante,Red Blend
6705,91,Levante,Monastrell
6725,91,Levante,Monastrell
6768,89,Galicia,Albariño
6787,89,Northern Spain,Tempranillo Blend
6794,89,Northern Spain,Verdejo
6796,89,Northern Spain,Red Blend
6811,88,Northern Spain,Tempranillo-Cabernet Sauvignon
6812,88,Northern Spain,Cabernet Sauvignon-Tempranillo
6825,91,Northern Spain,Tempranillo Blend
6828,91,Northern Spain,Godello
6833,91,Northern Spain,Tempranillo
6873,89,Northern Spain,Red Blend
6916,93,Catalonia,Red Blend
6953,89,Andalucia,Sherry
7035,92,Northern Spain,Tinta de Toro
7120,87,Northern Spain,Red Blend
7154,84,Northern Spain,Rosé
7179,90,Catalonia,Red Blend
7189,90,Catalonia,Red Blend
7231,87,Central Spain,Tempranillo
7232,87,Northern Spain,Verdejo
7235,87,Central Spain,Tempranillo
7248,87,Galicia,Mencía
7249,87,Northern Spain,Tinta de Toro
7317,82,Northern Spain,Moscatel
7326,81,Northern Spain,Tempranillo
7332,80,Galicia,Albariño
7341,88,Galicia,Albariño
7346,88,Central Spain,Tempranillo
7363,88,Galicia,Albariño
7368,92,Northern Spain,Red Blend
7380,92,Northern Spain,Tinta de Toro
7391,92,Catalonia,Red Blend
7416,86,Northern Spain,Tempranillo Blend
7419,86,Catalonia,Red Blend
7439,86,Catalonia,White Blend
7448,85,Catalonia,Red Blend
7485,83,Andalucia,Sherry
7493,83,Catalonia,Red Blend
7544,87,Levante,Monastrell
7545,87,Levante,Monastrell
7552,91,Levante,Red Blend
7557,90,Spanish Islands,Red Blend
7649,85,Northern Spain,Tempranillo
7651,85,Galicia,Albariño
7668,85,Central Spain,Tempranillo
7677,90,Catalonia,Sparkling Blend
7683,90,Central Spain,Tempranillo
7690,90,Northern Spain,Tinto del Pais
7699,86,Northern Spain,Tempranillo
7704,86,Northern Spain,Red Blend
7705,86,Northern Spain,Tempranillo Blend
7716,86,Northern Spain,Tempranillo Blend
7717,86,Northern Spain,Tempranillo
7775,91,Northern Spain,Tempranillo
7813,87,Central Spain,Tempranillo
7816,87,Central Spain,Tempranillo
7824,87,Northern Spain,Tempranillo
7833,87,Catalonia,White Blend
7837,87,Levante,Tempranillo Blend
7846,87,Galicia,Albariño
8048,86,Catalonia,Sparkling Blend
8139,87,Catalonia,Sparkling Blend
8370,87,Northern Spain,Graciano
8392,92,Northern Spain,Tinta de Toro
8395,92,Northern Spain,Red Blend
8405,92,Northern Spain,Tempranillo Blend
8452,92,Catalonia,Red Blend
8453,92,Northern Spain,Moscatel
8462,92,Catalonia,Sparkling Blend
8494,86,Catalonia,Sparkling Blend
8507,86,Northern Spain,Tempranillo Blend
8515,86,Catalonia,Sparkling Blend
8516,86,Catalonia,Sparkling Blend
8641,89,Catalonia,Red Blend
8688,88,Catalonia,Chardonnay
8689,88,Northern Spain,Mencía
8690,88,Northern Spain,Mencía
8766,89,Catalonia,Red Blend
8774,89,Northern Spain,Tempranillo Blend
8775,89,Spain Other,Sparkling Blend
8784,89,Northern Spain,Tempranillo
8791,89,Northern Spain,Tempranillo
8793,89,Northern Spain,Mencía
8976,93,Northern Spain,Tempranillo
8996,93,Northern Spain,Tempranillo
8997,93,Northern Spain,Tempranillo
9012,88,Northern Spain,Tempranillo Blend
9015,88,Northern Spain,Mencía
9088,88,Northern Spain,Red Blend
9089,88,Northern Spain,Tempranillo Blend
9104,88,Northern Spain,Tempranillo
9163,92,Levante,Red Blend
9191,86,Northern Spain,Tempranillo Blend
9192,86,Northern Spain,Tinto del Pais
9215,87,Northern Spain,Verdejo
9219,87,Northern Spain,Tempranillo
9224,87,Andalucia,Tempranillo
9228,87,Northern Spain,Tempranillo
9300,92,Central Spain,Cabernet Sauvignon
9322,89,Northern Spain,Tinta de Toro
9349,89,Catalonia,Red Blend
9357,84,Northern Spain,Tempranillo
9358,84,Northern Spain,Red Blend
9359,84,Catalonia,White Blend
9360,84,Northern Spain,Tempranillo
9363,84,Northern Spain,Tempranillo
9365,84,Central Spain,Tempranillo
9370,83,Northern Spain,Tempranillo
9371,83,Northern Spain,Tinta de Toro
9372,83,Central Spain,Viura
9406,83,Catalonia,Sparkling Blend
9407,83,Northern Spain,Viura
9421,83,Central Spain,Tempranillo
9432,82,Northern Spain,Red Blend
9435,92,Catalonia,Red Blend
9450,92,Northern Spain,Tempranillo
9515,92,Northern Spain,Tempranillo
9516,92,Northern Spain,Tempranillo Blend
9517,92,Spain Other,Sparkling Blend
9572,86,Northern Spain,Tempranillo
9576,86,Northern Spain,Garnacha
9577,86,Northern Spain,Tempranillo Blend
9578,86,Levante,Monastrell
9604,93,Northern Spain,Tempranillo Blend
9653,90,Northern Spain,Tempranillo
9670,90,Northern Spain,Mencía
9672,90,Northern Spain,Tempranillo Blend
9682,87,Northern Spain,Tinto Fino
9692,86,Central Spain,Tempranillo Blend
9693,86,Northern Spain,Tempranillo
9694,86,Central Spain,Tempranillo
9698,86,Northern Spain,Tinto del Pais
9699,86,Central Spain,Tempranillo Blend
9701,86,Northern Spain,Red Blend
9703,86,Levante,Monastrell
9772,92,Catalonia,Red Blend
9851,86,Catalonia,Sparkling Blend
10029,89,Central Spain,Red Blend
10032,89,Northern Spain,Graciano
10043,89,Catalonia,Sparkling Blend
10047,89,Northern Spain,Red Blend
10078,88,Northern Spain,Tempranillo
10128,86,Northern Spain,Tempranillo
10136,86,Central Spain,Tempranillo
10143,87,Catalonia,Red Blend
10155,87,Northern Spain,Tempranillo
10162,87,Northern Spain,Tempranillo Blend
10164,87,Catalonia,Sparkling Blend
10180,87,Catalonia,Sparkling Blend
10187,87,Northern Spain,Tinto del Pais
10192,87,Northern Spain,Tempranillo
10193,87,Northern Spain,Tempranillo
10204,86,Catalonia,Champagne Blend
10205,86,Catalonia,Champagne Blend
10218,85,Catalonia,Champagne Blend
10222,85,Catalonia,Champagne Blend
10223,85,Catalonia,Chardonnay
10285,88,Northern Spain,Garnacha
10291,88,Northern Spain,Tinta de Toro
10295,88,Catalonia,Sparkling Blend
10332,90,Galicia,White Blend
10342,90,Galicia,Albariño
10354,87,Northern Spain,Mencía
10401,91,Northern Spain,Tempranillo
10402,91,Northern Spain,Tinto Fino
10408,91,Northern Spain,Tempranillo Blend
10435,91,Northern Spain,Tempranillo
10436,91,Northern Spain,Tempranillo Blend
10467,90,Northern Spain,Tempranillo Blend
10488,90,Catalonia,Trepat
10515,88,Northern Spain,Tempranillo
10520,88,Catalonia,Sparkling Blend
10522,88,Northern Spain,Tinto Fino
10523,88,Galicia,White Blend
10524,88,Northern Spain,Tinto Fino
10535,90,Catalonia,Red Blend
10545,90,Catalonia,Red Blend
10619,91,Northern Spain,Tempranillo
10651,87,Northern Spain,Tinto del Pais
10660,84,Central Spain,Tempranillo
10669,84,Galicia,Albariño
10672,84,Catalonia,Red Blend
10677,84,Catalonia,Sparkling Blend
10680,84,Northern Spain,Tempranillo
10693,84,Catalonia,Sparkling Blend
10809,85,Catalonia,White Blend
10828,85,Catalonia,Sparkling Blend
10846,90,Northern Spain,Garnacha
10860,91,Northern Spain,Tinta de Toro
10864,91,Northern Spain,Tinta de Toro
11050,89,Northern Spain,Tempranillo Blend
11059,89,Northern Spain,Tempranillo
11187,95,Northern Spain,Tinta de Toro
11188,95,Northern Spain,Tinto Fino
11199,94,Northern Spain,Tempranillo Blend
11271,86,Northern Spain,Verdejo
11290,87,Northern Spain,Red Blend
11312,87,Catalonia,Sparkling Blend
11351,82,Central Spain,Garnacha
11365,81,Catalonia,Cabernet Sauvignon
11369,81,Catalonia,Red Blend
11378,87,Northern Spain,Tempranillo
11379,87,Northern Spain,Red Blend
11430,91,Northern Spain,Red Blend
11433,91,Catalonia,Red Blend
11436,91,Northern Spain,Tinta de Toro
11452,91,Northern Spain,Tempranillo
11453,91,Northern Spain,Tinta de Toro
11490,92,Catalonia,Red Blend
11498,92,Levante,Red Blend
11501,92,Catalonia,Red Blend
11575,91,Northern Spain,Tempranillo Blend
11683,87,Northern Spain,Tempranillo Blend
11687,86,Northern Spain,Tempranillo Blend
11689,86,Catalonia,Bordeaux-style Red Blend
11738,89,Northern Spain,Tempranillo
11739,89,Northern Spain,Tempranillo
11740,89,Northern Spain,White Blend
11747,89,Catalonia,Sparkling Blend
11748,89,Northern Spain,Tempranillo
11757,89,Catalonia,Sparkling Blend
11909,92,Northern Spain,Tempranillo Blend
11926,92,Andalucia,Sherry
11929,85,Northern Spain,Viura
11948,85,Northern Spain,Red Blend
11992,85,Northern Spain,Viura
12031,90,Northern Spain,Tempranillo Blend
12055,83,Northern Spain,Tempranillo
12060,82,Northern Spain,Viura
12068,82,Northern Spain,Tempranillo
12077,82,Northern Spain,Tempranillo Blend
12113,90,Northern Spain,Red Blend
12152,91,Northern Spain,White Blend
12163,91,Andalucia,Sherry
12168,91,Northern Spain,Tempranillo
12324,87,Northern Spain,Tempranillo
12335,88,Galicia,Albariño
12369,85,Levante,Monastrell
12380,85,Levante,Bobal
12520,86,Northern Spain,Mencía
12538,88,Northern Spain,White Blend
12543,88,Northern Spain,Mencía
12588,86,Galicia,Albariño
12590,86,Levante,Monastrell
12610,86,Northern Spain,Tempranillo
12611,86,Northern Spain,Tempranillo
12668,83,Catalonia,Sparkling Blend
12674,83,Catalonia,Sparkling Blend
12678,83,Northern Spain,Viura
12694,84,Levante,White Blend
12727,88,Catalonia,Red Blend
12732,88,Catalonia,White Blend
12760,85,Central Spain,Red Blend
12782,90,Northern Spain,Tempranillo Blend
12792,90,Northern Spain,Garnacha
12844,88,Central Spain,Red Blend
12856,91,Northern Spain,Tempranillo Blend
12861,91,Levante,Red Blend
12875,91,Northern Spain,Tempranillo Blend
12884,91,Spain Other,Chardonnay
12895,91,Northern Spain,Tempranillo
12927,91,Northern Spain,Tempranillo Blend
13028,92,Northern Spain,Tempranillo Blend
13038,92,Catalonia,Cabernet Sauvignon
13039,92,Andalucia,Pedro Ximénez
13049,90,Northern Spain,Merlot
13055,90,Catalonia,Sparkling Blend
13071,90,Northern Spain,Tempranillo
13073,86,Northern Spain,Tempranillo
13075,86,Northern Spain,Tempranillo
13082,85,Central Spain,Rosé
13083,85,Catalonia,Sparkling Blend
13086,85,Northern Spain,Tempranillo
13088,85,Catalonia,Sparkling Blend
13092,85,Northern Spain,Tempranillo Blend
13194,86,Catalonia,Sparkling Blend
13198,86,Andalucia,Sherry
13217,86,Catalonia,Red Blend
13225,84,Central Spain,Tempranillo
13236,84,Northern Spain,Rosado
13309,90,Northern Spain,Tempranillo
13320,90,Northern Spain,Tempranillo Blend
13349,85,Northern Spain,Red Blend
13352,85,Northern Spain,Verdejo
13362,85,Northern Spain,Tempranillo
13393,86,Northern Spain,Verdejo
13406,86,Northern Spain,Tempranillo
13408,86,Northern Spain,Prieto Picudo
13413,86,Levante,Monastrell
13463,93,Northern Spain,Tinta de Toro
13478,93,Northern Spain,Tempranillo
13538,92,Northern Spain,Tempranillo
13630,91,Northern Spain,Tempranillo
13662,86,Catalonia,Sparkling Blend
13665,86,Catalonia,Sparkling Blend
13670,86,Catalonia,Sparkling Blend
13673,86,Catalonia,Sparkling Blend
13682,86,Catalonia,Red Blend
13684,91,Northern Spain,Mencía
13848,86,Northern Spain,Tempranillo Blend
13912,91,Northern Spain,Tempranillo
13963,87,Northern Spain,Red Blend
13964,87,Catalonia,Sparkling Blend
13974,87,Northern Spain,Tinto Fino
13980,94,Northern Spain,Tempranillo
14074,82,Northern Spain,Tempranillo-Garnacha
14079,82,Central Spain,Garnacha
14141,87,Catalonia,Sparkling Blend
14182,90,Northern Spain,Tempranillo Blend
14201,89,Northern Spain,Tempranillo
14203,89,Northern Spain,Garnacha
14210,89,Northern Spain,Tempranillo Blend
14212,89,Catalonia,White Blend
14214,89,Northern Spain,White Blend
14215,89,Galicia,Albariño
14279,86,Catalonia,Red Blend
14287,86,Levante,Red Blend
14290,86,Catalonia,Cabernet Sauvignon
14291,86,Levante,Monastrell
14300,86,Northern Spain,White Blend
14356,94,Andalucia,Sherry
14360,89,Northern Spain,Garnacha
14397,84,Northern Spain,Tempranillo-Cabernet Sauvignon
14408,86,Northern Spain,Garnacha
14430,86,Central Spain,Tempranillo-Cabernet Sauvignon
14440,91,Catalonia,Red Blend
14461,91,Catalonia,Red Blend
14467,91,Northern Spain,Tempranillo
14557,89,Northern Spain,Garnacha
14720,82,Spain Other,Verdejo
14724,82,Northern Spain,Red Blend
14731,81,Northern Spain,Viura
14733,81,Northern Spain,Bordeaux-style Red Blend
14737,81,Northern Spain,Tempranillo Blend
14856,90,Northern Spain,Tempranillo
15003,91,Northern Spain,Red Blend
15016,91,Northern Spain,Garnacha Tintorera
15051,89,Northern Spain,Tempranillo
15057,89,Catalonia,Sparkling Blend
15061,89,Galicia,White Blend
15062,89,Northern Spain,Tempranillo
15067,89,Galicia,Albariño
15149,93,Northern Spain,Tempranillo
15221,87,Central Spain,Tempranillo
15233,87,Northern Spain,White Blend
15237,86,Levante,Monastrell
15239,86,Northern Spain,Tempranillo
15329,89,Northern Spain,Tinta de Toro
15344,84,Northern Spain,Garnacha
15372,86,Central Spain,Tempranillo
15384,86,Northern Spain,Tempranillo Blend
15525,93,Northern Spain,Mencía
15573,92,Northern Spain,Tempranillo
15596,81,Northern Spain,Tempranillo
15597,81,Central Spain,Sauvignon Blanc
15601,81,Catalonia,Red Blend
15606,80,Northern Spain,Tempranillo-Merlot
15671,94,Northern Spain,Red Blend
15677,92,Northern Spain,Tempranillo Blend
15789,94,Catalonia,Red Blend
15796,94,Catalonia,Red Blend
15812,85,Northern Spain,Macabeo
15822,85,Northern Spain,Mazuelo
15846,96,Catalonia,Carignan
15867,89,Northern Spain,Tempranillo Blend
15928,91,Northern Spain,Mencía
15929,91,Northern Spain,Tinto Fino
15949,90,Northern Spain,Tempranillo
15950,90,Northern Spain,Tempranillo
16020,88,Levante,Monastrell
16021,88,Northern Spain,Tempranillo
16022,88,Northern Spain,Red Blend
16026,88,Northern Spain,Tempranillo
16031,88,Northern Spain,Tempranillo Blend
16034,88,Northern Spain,Tinta de Toro
16071,84,Northern Spain,Tempranillo
16072,84,Northern Spain,Tempranillo
16079,84,Northern Spain,Tempranillo
16083,84,Northern Spain,Garnacha
16174,93,Northern Spain,Tempranillo
16186,92,Northern Spain,Tempranillo
16187,92,Northern Spain,Tempranillo Blend
16216,90,Catalonia,Syrah
16217,90,Central Spain,Red Blend
16222,87,Northern Spain,Tempranillo Blend
16233,87,Galicia,Albariño
16247,87,Catalonia,Red Blend
16287,87,Northern Spain,Tempranillo
16288,87,Northern Spain,Tempranillo Blend
16289,87,Levante,Monastrell
16294,87,Andalucia,Pedro Ximénez
16315,94,Northern Spain,Tinta del Pais
16462,85,Northern Spain,Godello
16464,85,Central Spain,Sauvignon Blanc
16474,88,Northern Spain,Tempranillo Blend
16515,82,Catalonia,Sparkling Blend
16550,84,Northern Spain,Malvasia
16555,83,Central Spain,Tempranillo
16560,83,Central Spain,Verdejo
16566,83,Catalonia,Sparkling Blend
16575,92,Northern Spain,Garnacha
16584,92,Catalonia,Sparkling Blend
16599,91,Northern Spain,Garnacha
16613,86,Northern Spain,Tempranillo
16615,86,Northern Spain,Red Blend
16618,86,Northern Spain,Tempranillo Blend
16666,85,Catalonia,Sparkling Blend
16667,85,Catalonia,Sparkling Blend
16681,85,Northern Spain,Tempranillo Blend
16813,88,Northern Spain,Tempranillo
16817,88,Catalonia,Red Blend
16818,88,Northern Spain,Tempranillo
16824,88,Galicia,Albariño
16830,87,Northern Spain,Garnacha
16861,85,Central Spain,Rosé
16864,85,Northern Spain,Tempranillo
16880,85,Northern Spain,Rosé
16947,90,Northern Spain,Garnacha
16971,84,Northern Spain,Red Blend
16991,84,Northern Spain,Verdejo
16993,84,Northern Spain,Tempranillo
17016,92,Catalonia,Red Blend
17094,92,Levante,Monastrell
17098,92,Catalonia,Sparkling Blend
17106,92,Northern Spain,Tempranillo
17112,88,Levante,Red Blend
17120,88,Northern Spain,Red Blend
17121,88,Northern Spain,Tempranillo
17124,87,Northern Spain,Tempranillo Blend
17165,83,Northern Spain,Garnacha
17183,89,Northern Spain,Tempranillo Blend
17184,89,Spain Other,Sparkling Blend
17206,86,Galicia,Albariño
17210,86,Northern Spain,White Blend
17216,86,Northern Spain,Garnacha
17220,86,Northern Spain,Verdejo-Viura
17226,86,Catalonia,Red Blend
17238,86,Central Spain,Tempranillo
17239,86,Northern Spain,Tempranillo
17244,85,Northern Spain,Tempranillo Blend
17249,85,Catalonia,Sparkling Blend
17655,92,Catalonia,Red Blend
17803,84,Central Spain,Tempranillo
17811,84,Catalonia,Sparkling Blend
17871,88,Northern Spain,Grenache
17908,85,Catalonia,Garnacha Blanca
17984,94,Northern Spain,Red Blend
17999,94,Northern Spain,Tempranillo Blend
18116,89,Northern Spain,White Blend
18117,89,Northern Spain,Red Blend
18118,89,Catalonia,Red Blend
18129,89,Northern Spain,Tempranillo
18130,89,Northern Spain,Red Blend
18133,89,Catalonia,White Blend
18135,89,Northern Spain,Tempranillo
18136,89,Northern Spain,Red Blend
18152,88,Catalonia,Sparkling Blend
18160,88,Catalonia,Sparkling Blend
18205,85,Northern Spain,Verdejo
18298,91,Catalonia,Red Blend
18323,91,Catalonia,Sparkling Blend
18328,83,Northern Spain,Tempranillo
18385,88,Catalonia,White Blend
18417,91,Catalonia,Red Blend
18419,91,Levante,Cabernet Sauvignon-Merlot
18433,91,Central Spain,Syrah
18439,90,Central Spain,Red Blend
18472,86,Northern Spain,Tempranillo Blend
18473,86,Northern Spain,Tempranillo
18474,86,Catalonia,Red Blend
18476,86,Northern Spain,Garnacha
18478,86,Northern Spain,Rosé
18485,86,Levante,Moscatel
18487,86,Northern Spain,Tempranillo
18488,86,Andalucia,Palomino
18499,90,Northern Spain,Tempranillo Blend
18500,90,Northern Spain,Tinto Fino
18509,90,Northern Spain,Tempranillo
18514,90,Northern Spain,Verdejo
18520,90,Levante,Tempranillo Blend
18605,83,Catalonia,Sparkling Blend
18609,83,Levante,Moscato
18613,83,Northern Spain,Tempranillo
18621,83,Northern Spain,Tempranillo
18645,90,Northern Spain,Tempranillo
18696,85,Northern Spain,Garnacha
18779,88,Levante,Red Blend
18879,90,Northern Spain,Tempranillo
18883,90,Central Spain,Touriga Nacional Blend
18891,90,Central Spain,Red Blend
18913,89,Northern Spain,Tempranillo Blend
18927,89,Northern Spain,Tempranillo
18957,89,Levante,Red Blend
19135,94,Andalucia,Sherry
19136,94,Andalucia,Sherry
19140,93,Andalucia,Sherry
19169,90,Northern Spain,Tempranillo
19281,87,Northern Spain,Tempranillo
19282,87,Northern Spain,Garnacha
19361,88,Northern Spain,Tempranillo Blend
19438,85,Central Spain,Tempranillo
19444,85,Northern Spain,Sauvignon Blanc
19447,85,Northern Spain,Tempranillo-Merlot
19448,85,Northern Spain,Tempranillo
19460,87,Northern Spain,Verdejo
19469,87,Northern Spain,Viura
19478,85,Catalonia,Muscat
19483,85,Northern Spain,Garnacha
19488,85,Spanish Islands,White Blend
19494,85,Northern Spain,Tempranillo
19498,85,Central Spain,Tempranillo
19499,85,Northern Spain,Sauvignon Blanc
19529,83,Northern Spain,Tempranillo
19532,91,Northern Spain,Mencía
19562,80,Northern Spain,Tinto del Pais
19587,89,Northern Spain,Tempranillo
19588,89,Andalucia,Palomino
19591,89,Northern Spain,Red Blend
19593,89,Galicia,Albariño
19594,89,Levante,Red Blend
19602,89,Catalonia,Sparkling Blend
19638,84,Central Spain,Tempranillo
19647,84,Northern Spain,Tempranillo
19693,88,Catalonia,Chardonnay
19695,88,Central Spain,Red Blend
